Year,Region_AR,Region_EN,Hospital_AR,Hospital_EN,Speciality_AR,Speciality_EN,Beds
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,باطنة,Internal Medicine,30
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,صدريــــــة,Pulmonology,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,قلــــب,Cardiology,27
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,امراض عصبية,Neurology,7
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,عصبیة ونفسیة,Psychiatry,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,جلدية وتناسلیة,Dermatology,4
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,اطفال باطنـــة,Paediatric Medicine,30
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,جراحة عامــــة,General Surgery,43
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,جــــراحة صدر,Thoracic Surgery,10
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,جـــــراحة قلب,Cardiac Surgery,5
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,جراحة اعصـاب,Neurosurgery,12
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,مسالك بولیــــة,Urology,18
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,جراحة اطفـــال,Paediatric Surgery,6
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,عظام,Orthopedics,37
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,حروق و تقويم,Plastic Surgery,15
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,عیــــــــــــــون,Ophthalmology,37
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,انــــــــف واذن,"Ear, Nose, and Throat",16
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,نســــاء وولادة,Gynaecology,14
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,قبـــل الـولادة ,Obstetrics (Antenatal),44
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,بعـــــد الولادة,Obstetrics (Postnatal),0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,طــــــب نووى,Radiation Therapy,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,الاورام,Tumors,7
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,عـــــام,General Medicine,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,مسنـــــــــــین,Geriatrics,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,تاھیــــــــــــل,Rehabilitation,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,اسنــــــــــــان,Dental,0
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,حديثى الولادة,Neonatal,15
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,اخـــــــــــــرى,Others,71
2002,أبو ظبي,Abu Dhabi,المفــــــــــرق,Marfraq,الجملة,Total,448
