Year,Region_AR,Region_EN,Hospital_AR,Hospital_EN,Speciality_AR,Speciality_EN,Beds
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,باطنة,Internal Medicine,30
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,صدريــــــة,Pulmonology,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,قلــــب,Cardiology,27
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,امراض عصبية,Neurology,7
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,عصبیة ونفسیة,Psychiatry,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,جلدية وتناسلیة,Dermatology,4
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,اطفال باطنـــة,Paediatric Medicine,30
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,جراحة عامــــة,General Surgery,43
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,جــــراحة صدر,Thoracic Surgery,10
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,جـــــراحة قلب,Cardiac Surgery,5
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,جراحة اعصـاب,Neurosurgery,12
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,مسالك بولیــــة,Urology,18
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,جراحة اطفـــال,Paediatric Surgery,6
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,عظام,Orthopedics,37
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,حروق و تقويم,Plastic Surgery,15
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,عیــــــــــــــون,Ophthalmology,37
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,انــــــــف واذن,"Ear, Nose, and Throat",16
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,نســــاء وولادة,Gynaecology,14
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,قبـــل الـولادة ,Obstetrics (Antenatal),44
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,بعـــــد الولادة,Obstetrics (Postnatal),0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,اوعية دموية,Cardiovascular,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,الاورام,Tumors,7
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,عـــــام,General Medicine,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,مسنـــــــــــین,Geriatrics,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,تاھیــــــــــــل,Rehabilitation,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,اسنــــــــــــان,Dental,0
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,حديثى الولادة,Neonatal,14
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,اخـــــــــــــرى,Others,71
2003,أبو ظبي,Abu Dhabi,المفـرق,Marfraq,الجملة,Total,447
